"path","type","mtime","bytes","tags","note"
"C:\AI\Delora\Heart\Memory\pins.csv","csv","2025-08-18T19:21:14","202","memory;pins","pins.csv"
"C:\AI\Delora\Heart\Tools\Start-DeloraHeartbeat.ps1","ps1","2025-08-19T00:20:18","1604","code","Start-DeloraHeartbeat.ps1"
